park_name,park_unit,state,year,month,month_name,date,visitor_count,average_temperature_f,precipitation_in,latitude,climate_zone
Arches,ARCH,UT,2007,1,January,2007-01-01,66228,57,0.7,38.73,desert
Arches,ARCH,UT,2007,2,February,2007-02-01,71485,60,0.7,38.73,desert
Arches,ARCH,UT,2007,3,March,2007-03-01,80946,67,0.8,38.73,desert
Arches,ARCH,UT,2007,4,April,2007-04-01,73587,75,0.9,38.73,desert
Arches,ARCH,UT,2007,5,May,2007-05-01,70959,80,1.1,38.73,desert
Arches,ARCH,UT,2007,6,June,2007-06-01,42313,84,1,38.73,desert
Arches,ARCH,UT,2007,7,July,2007-07-01,29435,86,0.9,38.73,desert
Arches,ARCH,UT,2007,8,August,2007-08-01,34165,86,0.9,38.73,desert
Arches,ARCH,UT,2007,9,September,2007-09-01,66228,84,0.9,38.73,desert
Arches,ARCH,UT,2007,10,October,2007-10-01,98291,77,0.9,38.73,desert
Arches,ARCH,UT,2007,11,November,2007-11-01,110381,68,0.9,38.73,desert
Arches,ARCH,UT,2007,12,December,2007-12-01,116163,61,0.8,38.73,desert
Arches,ARCH,UT,2008,1,January,2008-01-01,71511,57,0.7,38.73,desert
Arches,ARCH,UT,2008,2,February,2008-02-01,77187,60,0.7,38.73,desert
Arches,ARCH,UT,2008,3,March,2008-03-01,87403,67,0.8,38.73,desert
Arches,ARCH,UT,2008,4,April,2008-04-01,79457,75,0.9,38.73,desert
Arches,ARCH,UT,2008,5,May,2008-05-01,76619,80,1.1,38.73,desert
Arches,ARCH,UT,2008,6,June,2008-06-01,45688,84,1,38.73,desert
Arches,ARCH,UT,2008,7,July,2008-07-01,31783,86,0.9,38.73,desert
Arches,ARCH,UT,2008,8,August,2008-08-01,36891,86,0.9,38.73,desert
Arches,ARCH,UT,2008,9,September,2008-09-01,71511,84,0.9,38.73,desert
Arches,ARCH,UT,2008,10,October,2008-10-01,106132,77,0.9,38.73,desert
Arches,ARCH,UT,2008,11,November,2008-11-01,119185,68,0.9,38.73,desert
Arches,ARCH,UT,2008,12,December,2008-12-01,125428,61,0.8,38.73,desert
Arches,ARCH,UT,2009,1,January,2009-01-01,76710,57,0.7,38.73,desert
Arches,ARCH,UT,2009,2,February,2009-02-01,82798,60,0.7,38.73,desert
Arches,ARCH,UT,2009,3,March,2009-03-01,93756,67,0.8,38.73,desert
Arches,ARCH,UT,2009,4,April,2009-04-01,85233,75,0.9,38.73,desert
Arches,ARCH,UT,2009,5,May,2009-05-01,82189,80,1.1,38.73,desert
Arches,ARCH,UT,2009,6,June,2009-06-01,49009,84,1,38.73,desert
Arches,ARCH,UT,2009,7,July,2009-07-01,34093,86,0.9,38.73,desert
Arches,ARCH,UT,2009,8,August,2009-08-01,39572,86,0.9,38.73,desert
Arches,ARCH,UT,2009,9,September,2009-09-01,76710,84,0.9,38.73,desert
Arches,ARCH,UT,2009,10,October,2009-10-01,113847,77,0.9,38.73,desert
Arches,ARCH,UT,2009,11,November,2009-11-01,127849,68,0.9,38.73,desert
Arches,ARCH,UT,2009,12,December,2009-12-01,134546,61,0.8,38.73,desert
Arches,ARCH,UT,2010,1,January,2010-01-01,78103,57,0.7,38.73,desert
Arches,ARCH,UT,2010,2,February,2010-02-01,84301,60,0.7,38.73,desert
Arches,ARCH,UT,2010,3,March,2010-03-01,95459,67,0.8,38.73,desert
Arches,ARCH,UT,2010,4,April,2010-04-01,86781,75,0.9,38.73,desert
Arches,ARCH,UT,2010,5,May,2010-05-01,83681,80,1.1,38.73,desert
Arches,ARCH,UT,2010,6,June,2010-06-01,49899,84,1,38.73,desert
Arches,ARCH,UT,2010,7,July,2010-07-01,34712,86,0.9,38.73,desert
Arches,ARCH,UT,2010,8,August,2010-08-01,40291,86,0.9,38.73,desert
Arches,ARCH,UT,2010,9,September,2010-09-01,78103,84,0.9,38.73,desert
Arches,ARCH,UT,2010,10,October,2010-10-01,115914,77,0.9,38.73,desert
Arches,ARCH,UT,2010,11,November,2010-11-01,130171,68,0.9,38.73,desert
Arches,ARCH,UT,2010,12,December,2010-12-01,136990,61,0.8,38.73,desert
Arches,ARCH,UT,2011,1,January,2011-01-01,80132,57,0.7,38.73,desert
Arches,ARCH,UT,2011,2,February,2011-02-01,86491,60,0.7,38.73,desert
Arches,ARCH,UT,2011,3,March,2011-03-01,97939,67,0.8,38.73,desert
Arches,ARCH,UT,2011,4,April,2011-04-01,89035,75,0.9,38.73,desert
Arches,ARCH,UT,2011,5,May,2011-05-01,85855,80,1.1,38.73,desert
Arches,ARCH,UT,2011,6,June,2011-06-01,51195,84,1,38.73,desert
Arches,ARCH,UT,2011,7,July,2011-07-01,35614,86,0.9,38.73,desert
Arches,ARCH,UT,2011,8,August,2011-08-01,41338,86,0.9,38.73,desert
Arches,ARCH,UT,2011,9,September,2011-09-01,80132,84,0.9,38.73,desert
Arches,ARCH,UT,2011,10,October,2011-10-01,118926,77,0.9,38.73,desert
Arches,ARCH,UT,2011,11,November,2011-11-01,133553,68,0.9,38.73,desert
Arches,ARCH,UT,2011,12,December,2011-12-01,140548,61,0.8,38.73,desert
Arches,ARCH,UT,2012,1,January,2012-01-01,82428,57,0.7,38.73,desert
Arches,ARCH,UT,2012,2,February,2012-02-01,88969,60,0.7,38.73,desert
Arches,ARCH,UT,2012,3,March,2012-03-01,100745,67,0.8,38.73,desert
Arches,ARCH,UT,2012,4,April,2012-04-01,91586,75,0.9,38.73,desert
Arches,ARCH,UT,2012,5,May,2012-05-01,88315,80,1.1,38.73,desert
Arches,ARCH,UT,2012,6,June,2012-06-01,52662,84,1,38.73,desert
Arches,ARCH,UT,2012,7,July,2012-07-01,36634,86,0.9,38.73,desert
Arches,ARCH,UT,2012,8,August,2012-08-01,42522,86,0.9,38.73,desert
Arches,ARCH,UT,2012,9,September,2012-09-01,82428,84,0.9,38.73,desert
Arches,ARCH,UT,2012,10,October,2012-10-01,122333,77,0.9,38.73,desert
Arches,ARCH,UT,2012,11,November,2012-11-01,137379,68,0.9,38.73,desert
Arches,ARCH,UT,2012,12,December,2012-12-01,144575,61,0.8,38.73,desert
Arches,ARCH,UT,2013,1,January,2013-01-01,83374,57,0.7,38.73,desert
Arches,ARCH,UT,2013,2,February,2013-02-01,89991,60,0.7,38.73,desert
Arches,ARCH,UT,2013,3,March,2013-03-01,101901,67,0.8,38.73,desert
Arches,ARCH,UT,2013,4,April,2013-04-01,92637,75,0.9,38.73,desert
Arches,ARCH,UT,2013,5,May,2013-05-01,89329,80,1.1,38.73,desert
Arches,ARCH,UT,2013,6,June,2013-06-01,53267,84,1,38.73,desert
Arches,ARCH,UT,2013,7,July,2013-07-01,37055,86,0.9,38.73,desert
Arches,ARCH,UT,2013,8,August,2013-08-01,43010,86,0.9,38.73,desert
Arches,ARCH,UT,2013,9,September,2013-09-01,83374,84,0.9,38.73,desert
Arches,ARCH,UT,2013,10,October,2013-10-01,123737,77,0.9,38.73,desert
Arches,ARCH,UT,2013,11,November,2013-11-01,138956,68,0.9,38.73,desert
Arches,ARCH,UT,2013,12,December,2013-12-01,146235,61,0.8,38.73,desert
Arches,ARCH,UT,2014,1,January,2014-01-01,98919,57,0.7,38.73,desert
Arches,ARCH,UT,2014,2,February,2014-02-01,106770,60,0.7,38.73,desert
Arches,ARCH,UT,2014,3,March,2014-03-01,120901,67,0.8,38.73,desert
Arches,ARCH,UT,2014,4,April,2014-04-01,109910,75,0.9,38.73,desert
Arches,ARCH,UT,2014,5,May,2014-05-01,105984,80,1.1,38.73,desert
Arches,ARCH,UT,2014,6,June,2014-06-01,63198,84,1,38.73,desert
Arches,ARCH,UT,2014,7,July,2014-07-01,43964,86,0.9,38.73,desert
Arches,ARCH,UT,2014,8,August,2014-08-01,51030,86,0.9,38.73,desert
Arches,ARCH,UT,2014,9,September,2014-09-01,98919,84,0.9,38.73,desert
Arches,ARCH,UT,2014,10,October,2014-10-01,146808,77,0.9,38.73,desert
Arches,ARCH,UT,2014,11,November,2014-11-01,164865,68,0.9,38.73,desert
Arches,ARCH,UT,2014,12,December,2014-12-01,173500,61,0.8,38.73,desert
Arches,ARCH,UT,2015,1,January,2015-01-01,107733,57,0.7,38.73,desert
Arches,ARCH,UT,2015,2,February,2015-02-01,116283,60,0.7,38.73,desert
Arches,ARCH,UT,2015,3,March,2015-03-01,131674,67,0.8,38.73,desert
Arches,ARCH,UT,2015,4,April,2015-04-01,119703,75,0.9,38.73,desert
Arches,ARCH,UT,2015,5,May,2015-05-01,115428,80,1.1,38.73,desert
Arches,ARCH,UT,2015,6,June,2015-06-01,68829,84,1,38.73,desert
Arches,ARCH,UT,2015,7,July,2015-07-01,47881,86,0.9,38.73,desert
Arches,ARCH,UT,2015,8,August,2015-08-01,55577,86,0.9,38.73,desert
Arches,ARCH,UT,2015,9,September,2015-09-01,107733,84,0.9,38.73,desert
Arches,ARCH,UT,2015,10,October,2015-10-01,159890,77,0.9,38.73,desert
Arches,ARCH,UT,2015,11,November,2015-11-01,179555,68,0.9,38.73,desert
Arches,ARCH,UT,2015,12,December,2015-12-01,188960,61,0.8,38.73,desert
Arches,ARCH,UT,2016,1,January,2016-01-01,122090,57,0.7,38.73,desert
Arches,ARCH,UT,2016,2,February,2016-02-01,131780,60,0.7,38.73,desert
Arches,ARCH,UT,2016,3,March,2016-03-01,149221,67,0.8,38.73,desert
Arches,ARCH,UT,2016,4,April,2016-04-01,135656,75,0.9,38.73,desert
Arches,ARCH,UT,2016,5,May,2016-05-01,130811,80,1.1,38.73,desert
Arches,ARCH,UT,2016,6,June,2016-06-01,78002,84,1,38.73,desert
Arches,ARCH,UT,2016,7,July,2016-07-01,54262,86,0.9,38.73,desert
Arches,ARCH,UT,2016,8,August,2016-08-01,62983,86,0.9,38.73,desert
Arches,ARCH,UT,2016,9,September,2016-09-01,122090,84,0.9,38.73,desert
Arches,ARCH,UT,2016,10,October,2016-10-01,181197,77,0.9,38.73,desert
Arches,ARCH,UT,2016,11,November,2016-11-01,203484,68,0.9,38.73,desert
Arches,ARCH,UT,2016,12,December,2016-12-01,214142,61,0.8,38.73,desert
Badlands,BADL,SD,2007,1,January,2007-01-01,31033,NA,2.1,NA,NA
Badlands,BADL,SD,2007,2,February,2007-02-01,35466,NA,1.9,NA,NA
Badlands,BADL,SD,2007,3,March,2007-03-01,48766,NA,2.4,NA,NA
Badlands,BADL,SD,2007,4,April,2007-04-01,62066,NA,2.7,NA,NA
Badlands,BADL,SD,2007,5,May,2007-05-01,79799,NA,3.1,NA,NA
Badlands,BADL,SD,2007,6,June,2007-06-01,101965,NA,3,NA,NA
Badlands,BADL,SD,2007,7,July,2007-07-01,124132,NA,2.7,NA,NA
Badlands,BADL,SD,2007,8,August,2007-08-01,115265,NA,2.6,NA,NA
Badlands,BADL,SD,2007,9,September,2007-09-01,93099,NA,2.5,NA,NA
Badlands,BADL,SD,2007,10,October,2007-10-01,75366,NA,2.5,NA,NA
Badlands,BADL,SD,2007,11,November,2007-11-01,62066,NA,2.5,NA,NA
Badlands,BADL,SD,2007,12,December,2007-12-01,57633,NA,2.3,NA,NA
Badlands,BADL,SD,2008,1,January,2008-01-01,29601,NA,2.1,NA,NA
Badlands,BADL,SD,2008,2,February,2008-02-01,33829,NA,1.9,NA,NA
Badlands,BADL,SD,2008,3,March,2008-03-01,46515,NA,2.4,NA,NA
Badlands,BADL,SD,2008,4,April,2008-04-01,59201,NA,2.7,NA,NA
Badlands,BADL,SD,2008,5,May,2008-05-01,76116,NA,3.1,NA,NA
Badlands,BADL,SD,2008,6,June,2008-06-01,97259,NA,3,NA,NA
Badlands,BADL,SD,2008,7,July,2008-07-01,118403,NA,2.7,NA,NA
Badlands,BADL,SD,2008,8,August,2008-08-01,109945,NA,2.6,NA,NA
Badlands,BADL,SD,2008,9,September,2008-09-01,88802,NA,2.5,NA,NA
Badlands,BADL,SD,2008,10,October,2008-10-01,71887,NA,2.5,NA,NA
Badlands,BADL,SD,2008,11,November,2008-11-01,59201,NA,2.5,NA,NA
Badlands,BADL,SD,2008,12,December,2008-12-01,54973,NA,2.3,NA,NA
Badlands,BADL,SD,2009,1,January,2009-01-01,32687,NA,2.1,NA,NA
Badlands,BADL,SD,2009,2,February,2009-02-01,37357,NA,1.9,NA,NA
Badlands,BADL,SD,2009,3,March,2009-03-01,51365,NA,2.4,NA,NA
Badlands,BADL,SD,2009,4,April,2009-04-01,65374,NA,2.7,NA,NA
Badlands,BADL,SD,2009,5,May,2009-05-01,84053,NA,3.1,NA,NA
Badlands,BADL,SD,2009,6,June,2009-06-01,107401,NA,3,NA,NA
Badlands,BADL,SD,2009,7,July,2009-07-01,130749,NA,2.7,NA,NA
Badlands,BADL,SD,2009,8,August,2009-08-01,121409,NA,2.6,NA,NA
Badlands,BADL,SD,2009,9,September,2009-09-01,98061,NA,2.5,NA,NA
Badlands,BADL,SD,2009,10,October,2009-10-01,79383,NA,2.5,NA,NA
Badlands,BADL,SD,2009,11,November,2009-11-01,65374,NA,2.5,NA,NA
Badlands,BADL,SD,2009,12,December,2009-12-01,60705,NA,2.3,NA,NA
